fuente,hoja,fila,motivo
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 25.xlsx,Report,82,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 25.xlsx,Report,157,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 25.xlsx,Report,232,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 25.xlsx,Report,304,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 25.xlsx,Report,372,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 26.xlsx,Report,82,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 26.xlsx,Report,157,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 26.xlsx,Report,233,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 26.xlsx,Report,304,tercero_id_no_numerico
/home/adrenocromo/apps/excel protelec/Saldos de terceros cuenta Materiales 26.xlsx,Report,375,tercero_id_no_numerico
